dtype,block,grid,iters,GFLOPs
fp32,128,864,4096,17286.75
fp64,128,864,4096,8652.67
fp32,256,864,4096,18722.59
fp64,256,864,4096,9124.75
fp32,512,864,4096,19279.50
fp64,512,864,4096,9341.03
fp32,1024,864,4096,19383.51
fp64,1024,864,4096,9344.61
