N,iters,tf32,GFLOPs
1024,20,0,16637.46
1024,20,1,67216.41
2048,20,0,17641.66
2048,20,1,101927.20
4096,20,0,19042.03
4096,20,1,136531.94
8192,20,0,19178.46
8192,20,1,137032.90
