bytes,iters,block,GBs
1048576,200,256,598.830
4194304,200,256,1449.912
16777216,200,256,1275.019
67108864,200,256,1306.149
268435456,200,256,1343.020
1073741824,200,256,1351.985
2147483648,200,256,1352.094
4294967296,200,256,1352.417
8589934592,200,256,1352.886
