2026/03/02 17:24:01.269, P0, 0 %, 28.11 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:01.469, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:01.670, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:01.870, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:02.070, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:02.271, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:02.471, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 32
2026/03/02 17:24:02.671, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:02.872, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:03.072, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:03.273, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:03.473, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:03.673, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:03.874, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:04.074, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:04.274, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:04.475, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:04.675, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:04.876, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:05.076, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:05.276, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:05.477, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:05.677, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:05.877, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:06.078, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:06.278, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:06.478, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:06.679, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:06.879, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:07.079, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:07.280, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
