2026/03/02 17:34:40.097, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.198, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.298, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.398, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.499, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.599, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.699, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.800, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:40.900, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.000, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.101, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.201, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.301, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.402, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.502, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.602, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.703, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.803, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:41.903, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.004, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.104, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.204, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.305, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.405, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.506, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.606, P0, 28.13 W, 210 MHz, 1215 MHz, 31
