2026/03/02 17:22:56.424, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:56.624, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:56.824, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:57.025, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:57.225, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:57.426, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:57.626, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:57.826, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:58.027, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:58.227, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:58.428, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:58.628, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:58.828, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:59.029, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:59.229, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:59.429, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:59.630, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:59.830, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:00.030, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:00.231, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:00.431, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:00.631, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:00.832, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:01.032, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:01.233, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:01.433, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:01.633, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:01.834, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:02.034, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:02.234, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:02.435, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:02.635, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:02.835, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:03.036, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:03.236, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:03.437, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:03.637, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:03.837, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:04.038, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:04.238, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:04.439, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:04.639, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:04.839, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:05.040, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:05.240, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:05.440, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:05.641, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:05.841, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:06.041, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:06.242, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:06.442, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:06.643, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:06.843, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:07.043, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:07.244, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:07.444, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:07.644, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:07.845, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:08.045, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:08.246, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:08.446, P0, 0 %, 27.20 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:08.646, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:08.847, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:09.047, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:09.248, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:23:09.448, P0, 0 %, 34.87 W, 1095 MHz, 1215 MHz, 31
2026/03/02 17:23:09.648, P0, 12 %, 101.81 W, 1095 MHz, 1215 MHz, 33
2026/03/02 17:23:09.849, P0, 100 %, 166.93 W, 1395 MHz, 1215 MHz, 36
2026/03/02 17:23:10.049, P0, 100 %, 180.18 W, 1410 MHz, 1215 MHz, 37
